GECEMLA01,Vector space,,Engineering Mathematics ,Linear Algebra
GECEMLA02,basis,,Engineering Mathematics ,Linear Algebra
GECEMLA03,linear dependence and independence,,Engineering Mathematics ,Linear Algebra
GECEMLA04, matrix algebra,,Engineering Mathematics ,Linear Algebra
GECEMLA05, eigenvalues and eigen vectors,,Engineering Mathematics ,Linear Algebra
GECEMLA06,rank,,Engineering Mathematics ,Linear Algebra
GECEMLA07,solution of linear equations – existence and uniqueness,,Engineering Mathematics ,Linear Algebra
GECEMCL01, Mean value theorems,,Engineering Mathematics ,Calculus
GECEMCL02, theorems of integral calculus,,Engineering Mathematics ,Calculus
GECEMCL03,evaluation of definite and improper integrals,,Engineering Mathematics ,Calculus
GECEMCL04,partial derivatives,,Engineering Mathematics ,Calculus
GECEMCL05,maxima and minima,,Engineering Mathematics ,Calculus
GECEMCL06,multiple integrals,,Engineering Mathematics ,Calculus
GECEMCL07,"line, surface and volume integrals",,Engineering Mathematics ,Calculus
GECEMCL08,Taylor series,,Engineering Mathematics ,Calculus
GECEMDE01, First order equations (linear and nonlinear),,Engineering Mathematics ,Differential Equations
GECEMDE02,higher order linear differential equations,,Engineering Mathematics ,Differential Equations
GECEMDE03, Cauchys and Eulers equations,,Engineering Mathematics ,Differential Equations
GECEMDE04,methods of solution using variation of parameters,,Engineering Mathematics ,Differential Equations
GECEMDE05,complementary function and particular integral,,Engineering Mathematics ,Differential Equations
GECEMDE06,partial differential equations,,Engineering Mathematics ,Differential Equations
GECEMDE07, variable separable method,,Engineering Mathematics ,Differential Equations
GECEMDE08,initial and boundary value problems,,Engineering Mathematics ,Differential Equations
GECEMVA01,Vectors in plane and space,,Engineering Mathematics ,Vector Analysis
GECEMVA02, vector operations,,Engineering Mathematics ,Vector Analysis
GECEMVA03," gradient, divergence and curl",,Engineering Mathematics ,Vector Analysis
GECEMVA04,"Gausss, Greens and Stokes theorems",,Engineering Mathematics ,Vector Analysis
GECEMCA01,Analytic functions,,Engineering Mathematics ,Complex Analysis
GECEMCA02,Cauchys integral theorem,,Engineering Mathematics ,Complex Analysis
GECEMCA03,Cauchys integral formula,,Engineering Mathematics ,Complex Analysis
GECEMCA04,Taylors and Laurents series,,Engineering Mathematics ,Complex Analysis
GECEMCA05,residue theorem,,Engineering Mathematics ,Complex Analysis
GECEMNM01,Solution of nonlinear equations,,Engineering Mathematics ,Numerical Methods
GECEMNM02,single and multi-step methods for differential equations,,Engineering Mathematics ,Numerical Methods
GECEMNM03,convergence criteria,,Engineering Mathematics ,Numerical Methods
GECEMPS01," Mean, median, mode and standard deviation",,Engineering Mathematics ,Probability and Statistics
GECEMPS02, combinatorial probability,,Engineering Mathematics ,Probability and Statistics
GECEMPS03,"probability distribution functions - binomial, Poisson, exponential and normal",,Engineering Mathematics ,Probability and Statistics
GECEMPS04, Joint and conditional probability,,Engineering Mathematics ,Probability and Statistics
GECEMPS05, Correlation and regression analysis,,Engineering Mathematics ,Probability and Statistics
GECNSNS01,nodal and mesh analysis,," Networks, Signals and Systems ",Network solution methods
GECNSNS02,"Network theorems: superposition, Thevenin and Norton’s, maximum power transfer",," Networks, Signals and Systems ",Network solution methods
GECNSNS03, Wye?Delta transformation; Steady state sinusoidal analysis using phasors,," Networks, Signals and Systems ",Network solution methods
GECNSNS04,Time domain analysis of simple linear circuits,," Networks, Signals and Systems ",Network solution methods
GECNSNS05, Solution of network equations using Laplace transform,," Networks, Signals and Systems ",Network solution methods
GECNSNS06, Frequency domain analysis of RLC circuits,," Networks, Signals and Systems ",Network solution methods
GECNSNS07, Linear 2?port network parameters: driving point and transfer functions,," Networks, Signals and Systems ",Network solution methods
GECNSNS08,State equations for networks,," Networks, Signals and Systems ",Network solution methods
GECNSCS01,"Fourier series and Fourier transform representations, sampling theorem and applications",," Networks, Signals and Systems ",Continuous-time signals
GECNSCS02,"Discrete-time signals: discrete-time Fourier transform (DTFT), DFT, FFT, Z-transform, interpolation of discrete-time signals",," Networks, Signals and Systems ",Continuous-time signals
GECNSCS03," LTI systems: definition and properties, causality, stability, impulse response, convolution, poles and zeros, parallel and cascade structure, frequency response, group delay, phase delay, digital filter design techniques",," Networks, Signals and Systems ",Continuous-time signals
GECEDoo01,Energy bands in intrinsic and extrinsic silicon,,Electronic Devices ,None
GECEDoo02,"Carrier transport: diffusion current, drift current, mobility and resistivity",,Electronic Devices ,None
GECEDoo03, Generation and recombination of carriers,,Electronic Devices ,None
GECEDoo04,Poisson and continuity equations,,Electronic Devices ,None
GECEDoo05,"P-N junction, Zener diode, BJT, MOS capacitor, MOSFET, LED, photo diode and solar cell",,Electronic Devices ,None
GECEDoo06," Integrated circuit fabrication process: oxidation, diffusion, ion implantation, photolithography and twin-tub CMOS process",,Electronic Devices ,None
GECACoo01,"Small signal equivalent circuits of diodes, BJTs and MOSFETs",,Analog Circuits ,None
GECACoo02,"Simple diode circuits: clipping, clamping and rectifiers",,Analog Circuits ,None
GECACoo03,"Single-stage BJT and MOSFET amplifiers: biasing, bias stability, midfrequency small signal analysis and frequency response",,Analog Circuits ,None
GECACoo04,"BJT and MOSFET amplifiers: multi-stage, differential, feedback, power and operational; Simple op-amp circuits",,Analog Circuits ,None
GECACoo05,Active filters,,Analog Circuits ,None
GECACoo06,"Sinusoidal oscillators: criterion for oscillation, single-transistor and op- amp configurations",,Analog Circuits ,None
GECACoo07," Function generators, wave-shaping circuits and 555 timers",,Analog Circuits ,None
GECACoo08, Voltage reference circuits,,Analog Circuits ,None
GECACoo09, Power supplies: ripple removal and regulation,,Analog Circuits ,None
GECDCoo01,Number systems,,Digital Circuits ,None
GECDCoo02,"Combinatorial circuits: Boolean algebra, minimization of functions using Boolean identities and Karnaugh map, logic gates and their static CMOS implementations, arithmetic circuits, code converters, multiplexers, decoders and PLAs",,Digital Circuits ,None
GECDCoo03," Sequential circuits: latches and flip?flops, counters, shift?registers and finite state machines",,Digital Circuits ,None
GECDCoo04,"Data converters: sample and hold circuits, ADCs and DACs",,Digital Circuits ,None
GECDCoo05,"Semiconductor memories: ROM, SRAM, DRAM",,Digital Circuits ,None
GECDCoo06,"8-bit microprocessor (8085): architecture, programming, memory and I|O interfacing",,Digital Circuits ,None
GECCSoo01,Basic control system components,,Control Systems ,None
GECCSoo02,Feedback principle,,Control Systems ,None
GECCSoo03, Transfer function,,Control Systems ,None
GECCSoo04,Block diagram representation,,Control Systems ,None
GECCSoo05,Signal flow graph,,Control Systems ,None
GECCSoo06,Transient and steady-state analysis of LTI systems,,Control Systems ,None
GECCSoo07, Frequency response,,Control Systems ,None
GECCSoo08,Routh-Hurwitz and Nyquist stability criteria,,Control Systems ,None
GECCSoo09,Bode and root-locus plots,,Control Systems ,None
GECCSoo10,"Lag, lead and lag-lead compensation",,Control Systems ,None
GECCSoo11,State variable model and solution of state equation of LTI systems,,Control Systems ,None
GECCMoo01,"Random processes: autocorrelation and power spectral density, properties of white noise, filtering of random signals through LTI systems",,Communications ,None
GECCMoo02,"Analog communications: amplitude modulation and demodulation, angle modulation and demodulation, spectra of AM and FM, superheterodyne receivers, circuits for analog communications",,Communications ,None
GECCMoo03,"Information theory: entropy, mutual information and channel capacity theorem",,Communications ,None
GECCMoo04,"Digital communications: PCM, DPCM, digital modulation schemes, amplitude, phase and frequency shift keying (ASK, PSK, FSK), QAM, MAP and ML decoding, matched filter receiver, calculation of bandwidth, SNR and BER for digital modulation",,Communications ,None
GECCMoo05," Fundamentals of error correction, Hamming codes",,Communications ,None
GECCMoo06,"Timing and frequency synchronization, inter-symbol interference and its mitigation",,Communications ,None
GECCMoo07,"Basics of TDMA, FDMA and CDMA",,Communications ,None
GECEMoo01,Electrostatics,,Electromagnetics ,None
GECEMoo02,"Maxwell’s equations: differential and integral forms and their interpretation, boundary conditions, wave equation, Poynting vector",,Electromagnetics ,None
GECEMoo03,"Plane waves and properties: reflection and refraction, polarization, phase and group velocity, propagation through various media, skin depth",,Electromagnetics ,None
GECEMoo04,"Transmission lines: equations, characteristic impedance, impedance matching, impedance transformation, Sparameters, Smith chart",,Electromagnetics ,None
GECEMoo05,"Waveguides: modes, boundary conditions, cut-off frequencies, dispersion relations",,Electromagnetics ,None
GECEMoo06,"Antennas: antenna types, radiation pattern, gain and directivity, return loss, antenna arrays",,Electromagnetics ,None
GECEMoo07,Basics of radar,,Electromagnetics ,None
GECEMoo08,Light propagation in optical fibers,,Electromagnetics ,None
